id,Ãû×Ö,Ä£ÐÍid,Í·ÏñID,¹¥»÷ÀàÐÍ,µÈ¼¶,ÉúÃüÖµ,ÒÆ¶¯ËÙ¶È,¹¥»÷·¶Î§,Îï¹¥,·¨¹¥,ÎïÀí·ÀÓù,·¨Êõ·ÀÓù,ÃüÖÐ,¶ãÉÁ,±©»÷,¿¹±©,¼¼ÄÜ1,¼¼ÄÜ1µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ1µÄÊ©·¨Ê±¼ä,¼¼ÄÜ2,¼¼ÄÜ2µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ2µÄÊ©·¨Ê±¼ä,¼¼ÄÜ3,¼¼ÄÜ3µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ3µÄÊ©·¨Ê±¼ä,¼¼ÄÜ4,¼¼ÄÜ4µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ4µÄÊ©·¨Ê±¼ä,É¾³ý
1114,³ö¿Ú,472,265,1,1,108,21500,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1115,ÌìÓðµû,602,389,0,49,812,21500,,695,695,523,496,491,294,,,701002,10000,1500,,,,,,,,,,É¾³ý
1116,Ïô¼Ò×¯Ð¡»ì»ì,589,421,0,55,1029,21500,,819,819,626,594,593,349,,,701002,10000,1500,,,,,,,,,,É¾³ý
1117,ÓñºüÏÉ×Ó,196,70,0,33,1008,21500,,469,469,295,280,298,183,,,701002,10000,1500,,,,,,,,,,É¾³ý
1118,Ò°ÀÇ,3030,48,0,46,705,21500,,635,635,472,448,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
1119,À¹Â·½Ù·Ë,1161,92,0,59,3761,21500,,1046,1046,741,703,660,387,,,701002,10000,1500,,,,,,,,,,É¾³ý
1120,»±Ñý,573,401,0,58,1139,21500,,888,888,688,653,642,377,,,701002,10000,1500,,,,,,,,,,É¾³ý
1121,³¤Ç¹µûÈË,1163,12,0,46,705,21500,,635,635,472,448,450,272,,,701002,10000,1500,,,,,,,,,,É¾³ý
1122,¶¾¹û¾«,494,346,0,60,1224,21500,,933,933,724,687,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
1123,ÄêÓ×ÓãÓ¥,195,2,2,5,39,21500,,65,65,48,45,85,54,,,701041,10000,1500,,,,,,,,,,É¾³ý
1124,³ö¿Ú,472,265,1,1,108,21500,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1125,³ö¿Ú,472,265,1,1,108,21500,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1126,³ö¿Ú,472,265,1,1,108,21500,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1127,ÐÅ½ÌÃñÖÚ,199,163,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1128,ÂÌÂÜÌÙ,138,62,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1129,Æ®Ãì¸óÁ¶Ò©µÜ×Ó,26,6,0,14,96,21500,,160,160,110,104,142,89,,,701002,10000,1500,,,,,,,,,,É¾³ý
1130,ÓÇÓôµÄÁéÊÞ,44,72,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1131,ÓÇÓôµÄÁéÊÞ,189,72,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1132,ÓÇÓôµÄÁéÊÞ,43,72,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1133,Òøºü,196,70,2,100,696277,21500,,8098,8098,5715,5429,5790,2375,,,706012,10000,1500,,,,,,,,,,É¾³ý
1134,ÉñÃØÈË,1575,327,2,100,696277,21500,,8098,8098,5715,5429,5790,2375,,,706013,10000,1500,,,,,,,,,,É¾³ý
1135,Çà½ÌµÜ×Ó,38,9,0,14,67,21500,,160,160,110,104,142,89,,,701002,10000,1500,,,,,,,,,,É¾³ý
1136,Ä¾¾«Áé,1380,94,0,3,28,21500,,45,45,35,33,74,47,,,701002,10000,1500,,,,,,,,,,É¾³ý
1137,µ·ÂÒµÄºï×Ó,706,18,0,10,70,21500,,116,116,81,76,114,71,,,701002,10000,1500,,,,,,,,,,É¾³ý
1138,ÃÛ·ä,707,41,0,13,88,21500,,149,149,103,97,133,84,,,701002,10000,1500,,,,,,,,,,É¾³ý
1139,Ñ©ºü,340,70,0,15,101,21500,,171,171,116,110,148,93,,,701002,10000,1500,,,,,,,,,,É¾³ý
1201,ÑÃÒÛ,337,92,0,52,924,21500,,756,756,574,545,541,321,,,701002,10000,1500,,,,,,,,,,É¾³ý
1202,¶ñ°Ô,26,6,0,50,853,21500,,715,715,541,513,508,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
1203,ÓÄ¹í,594,393,0,53,961,21500,,776,776,591,561,559,331,,,701002,10000,1500,,,,,,,,,,É¾³ý
1204,µûÑýÐ°Î×,550,14,0,36,1208,21500,,523,523,332,315,328,201,,,701002,10000,1500,,,,,,,,,,É¾³ý
1205,Ê³Ê¬¹í,601,25,0,52,924,21500,,756,756,574,545,541,321,,,701002,10000,1500,,,,,,,,,,É¾³ý
1206,ÐÇËÞÁÒ»ê,459,25,0,74,10409,21500,,2150,2150,1677,1593,1848,1104,,,701002,10000,1500,,,,,,,,,,É¾³ý
1207,¶¾Î×¾«Èñ,567,385,0,45,667,21500,,616,616,455,432,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
1208,¶¾Î×Âù±ø,569,384,0,45,667,21500,,616,616,455,432,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
1209,¶¾Î×´Ì¿Í,522,360,0,76,12537,21500,,2481,2481,1963,1864,2021,1207,,,701002,10000,1500,,,,,,,,,,É¾³ý
1210,ÏØÀô,526,362,0,44,634,21500,,597,597,439,417,422,256,,,701002,10000,1500,,,,,,,,,,É¾³ý
1211,ÉñÃØ½õºÐ,119,144,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1212,±£ÏÕÏä,1317,144,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1213,ÑýÄ§´ó»¤·¨,470,48,0,43,1865,21500,,664,664,443,420,410,249,,,701002,10000,1500,,,,,,,,,,É¾³ý
1214,¾ÅÎ²Òøºü,196,70,0,17,705,21500,,232,232,157,149,162,102,,,701002,10000,1500,,,,,,,,,,É¾³ý
1215,·¢ô¢,389,293,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1216,À¶³áµû¾«,1162,13,0,44,634,21500,,597,597,439,417,422,256,,,701002,10000,1500,,,,,,,,,,É¾³ý
1217,±ÌÕÆµûÈË,279,12,0,47,738,21500,,655,655,488,463,462,279,,,701002,10000,1500,,,,,,,,,,É¾³ý
1218,Æß²Êµû,912,16,0,60,1224,21500,,933,933,724,687,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
1219,ÁøÑý,500,45,0,56,1067,21500,,840,840,643,610,610,359,,,701002,10000,1500,,,,,,,,,,É¾³ý
1220,Ð¡Ó¥,45,84,0,31,296,21500,,379,379,262,248,277,172,,,701002,10000,1500,,,,,,,,,,É¾³ý
1221,µûÈËÍ³Áì,1164,15,0,43,603,21500,,578,578,422,400,410,249,,,701002,10000,1500,,,,,,,,,,É¾³ý
1222,²ðÇ¨¹¤,615,6,0,43,603,21500,,578,578,422,400,410,249,,,701002,10000,1500,,,,,,,,,,É¾³ý
1223,Ê±Ö¹,973,96,0,54,2810,21500,,916,1007,574,701,576,340,,,710002,10000,1500,,,,,,,,,,É¾³ý
1251,Îå¶¾ó¸òÜ,537,377,0,65,1438,21500,,1049,1049,817,776,1090,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
1252,À¶Ñª±ùó¸,533,378,0,36,394,21500,,455,455,317,301,328,201,,,701002,10000,1500,,,,,,,,,,É¾³ý
1253,Çà½£»ê,578,397,0,71,2260,21500,,1441,1441,1190,1130,1590,948,,,701002,10000,1500,,,,,,,,,,É¾³ý
1254,Ò°¹í,555,376,0,40,1571,21500,,602,602,394,374,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
1255,¶ñ¹í,503,376,0,68,1613,21500,,1130,1130,892,847,1337,794,,,701002,10000,1500,,,,,,,,,,É¾³ý
1256,÷¼÷ÃÎ×Ê¦,554,26,0,42,1749,21500,,644,644,427,405,397,241,,,701002,10000,1500,,,,,,,,,,É¾³ý
1257,Ú¤¶¾¾Þó¸,938,378,0,66,4808,21500,,1237,1237,883,838,1172,694,,,701002,10000,1500,,,,,,,,,,É¾³ý
1258,½£Æø¶¾Áé,939,435,0,69,5435,21500,,1331,1331,962,913,1418,844,,,701002,10000,1500,,,,,,,,,,É¾³ý
1259,Ä¹ÔôÔ©»ê,940,406,0,72,8375,21500,,1821,1821,1391,1321,1676,999,,,701002,10000,1500,,,,,,,,,,É¾³ý
1260,»Æ½£»ê,574,399,0,75,3490,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
1261,ÍµÒ©µÀÈË,941,37,0,75,11464,21500,,2314,2314,1819,1728,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
1276,³àÑª÷¼÷Ã,211,26,0,70,1970,21500,,1299,1299,1054,1001,1505,896,,,701002,10000,1500,,,,,,,,,,É¾³ý
1277,À¶½£»ê,577,400,0,73,2866,21500,,1726,1726,1462,1388,1762,1051,,,701002,10000,1500,,,,,,,,,,É¾³ý
1278,³à½£»ê,568,398,0,74,10409,21500,,2150,2150,1677,1593,1848,1104,,,701002,10000,1500,,,,,,,,,,É¾³ý
1279,²ø»ê¹í,555,59,0,76,3808,21500,,2158,2158,1870,1776,2021,1207,,,701002,10000,1500,,,,,,,,,,É¾³ý
1280,¶¾¾«Áé,494,346,0,80,5124,21500,,2740,2740,2414,2293,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
1281,½£Ú¤,551,353,0,80,17031,21500,,3151,3151,2534,2407,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
1282,¼À»ê÷¼÷Ã,3024,30,0,78,4457,21500,,2448,2448,2141,2033,2192,1312,,,701002,10000,1500,,,,,,,,,,É¾³ý
1283,Ð°½£»ê,545,353,0,72,8375,21500,,1821,1821,1391,1321,1676,999,,,701002,10000,1500,,,,,,,,,,É¾³ý
1284,¹í×ä,545,353,0,110,58647,21500,,8113,8113,6526,6199,4796,2966,,,701002,10000,1500,,,,,,,,,,É¾³ý
1301,ÌìÎ×ÉÚ±ø,584,410,0,69,1677,21500,,1158,1158,917,871,1418,844,,,701002,10000,1500,,,,,,,,,,É¾³ý
1302,ÇîÆæ,1256,420,0,60,3895,21500,,1072,1072,760,722,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
1303,Ê÷ÈË¹Ö,500,45,0,70,1970,21500,,1299,1299,1054,1001,1505,896,,,701002,10000,1500,,,,,,,,,,É¾³ý
1304,ÏªµûÁé,501,375,0,62,1305,21500,,978,978,760,722,844,495,,,701002,10000,1500,,,,,,,,,,É¾³ý
1305,Çà½Ìà¶†ª,502,9,0,80,5124,21500,,2740,2740,2414,2293,2365,1418,,,701002,10000,1500,,,,,,,,,,É¾³ý
1306,Çà½ÌÊØÎÀ,504,10,0,31,902,21500,,435,435,275,261,277,172,,,701002,10000,1500,,,,,,,,,,É¾³ý
1307,Çà½ÌÎÀ±ø,505,11,0,30,279,21500,,364,364,251,238,266,166,,,701002,10000,1500,,,,,,,,,,É¾³ý
1308,Çà½ÌÑýÖÚ,503,376,0,75,3490,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
1309,ÊÉ»ê¾«,1153,355,0,60,1224,21500,,933,933,724,687,680,395,,,701002,10000,1500,,,,,,,,,,É¾³ý
1310,¾ÅÑÛÄ§±ª,507,49,0,66,1493,21500,,1076,1076,841,798,1172,694,,,701002,10000,1500,,,,,,,,,,É¾³ý
1311,ÍºðÕ,42,64,0,61,1264,21500,,955,955,742,704,761,444,,,701002,10000,1500,,,,,,,,,,É¾³ý
1312,Çà½Ì¼à²ìÊ¹,509,15,0,32,1733,21500,,471,518,292,357,288,178,,,710002,10000,1500,,,,,,,,,,É¾³ý
1313,Ñ©ÀÇÏÈ·æ,511,49,0,69,1677,21500,,1158,1158,917,871,1418,844,,,701002,10000,1500,,,,,,,,,,É¾³ý
1314,¾ÞÀÇÕ½Ê¿,532,48,0,63,1347,21500,,1002,1002,779,740,925,544,,,701002,10000,1500,,,,,,,,,,É¾³ý
1315,¹íÀÇÎ×,510,49,0,64,1250,21500,,1025,1127,717,876,1008,594,,,710002,10000,1500,,,,,,,,,,É¾³ý
1316,Ð×öÞÏÈ·æ,273,55,0,73,9371,21500,,1984,1984,1535,1458,1762,1051,,,701002,10000,1500,,,,,,,,,,É¾³ý
1317,¶ñöÞÎ×,206,54,0,65,1438,21500,,1049,1049,817,776,1090,643,,,701002,10000,1500,,,,,,,,,,É¾³ý
1318,À¶±ùó¸,533,378,0,72,2567,21500,,1584,1584,1325,1258,1676,999,,,701002,10000,1500,,,,,,,,,,É¾³ý
1319,ÃÔ×Ùò×µû,463,13,0,75,3490,21500,,2013,2013,1733,1646,1933,1155,,,701002,10000,1500,,,,,,,,,,É¾³ý
1320,ÃîÊÖÃÅÈË,589,421,0,67,1556,21500,,1103,1103,866,822,1253,744,,,701002,10000,1500,,,,,,,,,,É¾³ý
1321,Ç§»ÃÑýµû,602,389,0,78,4457,21500,,2448,2448,2141,2033,2192,1312,,,701002,10000,1500,,,,,,,,,,É¾³ý
1322,ÏÉº×²Ý,138,140,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1323,×íÓã¹û,493,347,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1324,±»Ê©·¨µÄ´åÃñ,328,301,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1325,½õºÐ,119,144,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1326,°×Ëª²Ý,187,147,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1327,Çà½ÌÎÀ±ø,563,11,0,48,778,21500,,674,674,505,479,476,287,,,710002,10000,1500,,,,,,,,,,É¾³ý
1328,ÒøË¿,1148,16,0,62,4169,21500,,1686,1686,798,758,844,495,,,710002,10000,1500,,,,,,,,,,É¾³ý
1329,ÂäÑ©,1147,14,0,62,4169,21500,,1124,1124,798,758,844,495,,,717005,10000,15000,,,,,,,,,,É¾³ý
1330,·É»¨,1146,13,0,62,4169,21500,,1124,1124,798,758,844,495,,,0,10000,1500,,,,,,,,,,É¾³ý
1401,Ë®¾§Çò,2890,768,2,150,600000,21500,,20881,20881,17178,16319,7919,4867,,,0,10000,1500,,,,,,,,,,É¾³ý
1402,ÉúÃÅ,2891,768,1,150,302486,21500,,20881,20881,17178,16319,7919,4867,,,0,10000,1500,,,,,,,,,,É¾³ý
1403,Ê¤Àû±¦Ïä,2428,341,1,1,108,13333,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1404,²ÎÓë±¦Ïä,1583,144,1,1,108,13333,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1405,Ë®¾§¾«Áé,1808,600,1,1,108,13333,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1406,ÏÀÒå±¦Ïä,1583,144,1,1,108,13333,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1407,ÖÐÇï±¦Ïä,2428,341,1,1,108,13333,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1408,¡¾ÆÕÍ¨¡¿ÍçÇ¿µÄÂýÐÐ÷¼÷Ã,601,25,0,23,1087,35000,,322,322,218,207,208,130,,,0,10000,1500,,,,,,,,,,É¾³ý
1409,¡¾ÆÕÍ¨¡¿ÍçÇ¿µÄ¼²ÅÜ÷¼÷Ã,866,30,0,23,1087,15000,,322,322,218,207,208,130,,,0,10000,1500,,,,,,,,,,É¾³ý
1410,¡¾Í·Ä¿¡¿Ò»µ¶ËÀÒ»¸ö,2892,771,0,23,1087,35000,,322,322,218,207,208,130,,,701052,10000,1500,,,,,,,,,,É¾³ý
1411,¡¾Í·Ä¿¡¿Ò»µ¶ËÀÒ»Æ¬,2893,388,0,23,1087,21500,,322,322,218,207,208,130,,,711033,10000,10000,709023,10000,1500,,,,,,,É¾³ý
1412,Ä§×åÊØ»¤Õß,2872,323,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,716012,10000,1500,716013,3000,1500,,,,,,,É¾³ý
1413,¿ñÄ§,2873,734,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1414,ÒûÄ§,2874,754,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,716008,3000,1500,716015,10000,1500,,,,,,,É¾³ý
1415,¡¾ÆÕÍ¨¡¿ÂýÐÐ÷¼÷Ã,601,25,0,23,1087,35000,,322,322,218,207,208,130,,,0,10000,1500,,,,,,,,,,É¾³ý
1416,¡¾ÆÕÍ¨¡¿¼²ÅÜ÷¼÷Ã,866,30,0,23,1087,15000,,322,322,218,207,208,130,,,0,10000,1500,,,,,,,,,,É¾³ý
1417,¡¾Í·Ä¿¡¿Ò»µ¶ËÀÒ»¸ö,2892,771,0,23,1087,35000,,322,322,218,207,208,130,,,701052,10000,1500,,,,,,,,,,É¾³ý
1418,¡¾Í·Ä¿¡¿Ò»µ¶ËÀÒ»Æ¬,2893,388,0,23,1087,21500,,322,322,218,207,208,130,,,711033,10000,10000,709023,10000,1500,,,,,,,É¾³ý
1419,Ä§×åÀÏ¶þ,2478,726,0,23,1087,21500,,322,322,218,207,208,130,,,701002,10000,1500,,,,,,,,,,É¾³ý
1420,Ä§×åÐ¡Èý,860,370,0,23,1087,21500,,322,322,218,207,208,130,,,701002,10000,1500,,,,,,,,,,É¾³ý
1421,Ä§×åµØÁú,2476,742,0,23,1087,21500,,322,322,218,207,208,130,,,701002,10000,1500,,,,,,,,,,É¾³ý
1422,»ú¹ØÉñÓ¥,1794,34,0,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1423,»ú¹ØÈË,461,32,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1424,¶¾Õ¤À¸,2895,603,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1425,¶¾Õ¤À¸,2895,603,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1426,±¸ÓÃboss,2872,323,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,706013,10000,1500,,,,,,,,,,É¾³ý
1427,±¸ÓÃboss,2872,323,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,706013,10000,1500,,,,,,,,,,É¾³ý
1428,Ä§×åÊØ»¤Õß,2872,323,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,716012,10000,1500,716013,3000,1500,,,,,,,É¾³ý
1429,Ä§¼§,2878,617,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,716009,10000,1500,719013,3000,1500,,,,,,,É¾³ý
1430,Ä§ÊÌ,2894,381,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,716010,10000,1500,719014,3000,1500,,,,,,,É¾³ý
1431,´óÄ§Éñ,2884,885,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1432,Í¼ÌÚÖù,719,255,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1433,¸´»î°ñ,394,139,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1434,·µ»Ø±¾Çø´«ËÍ ,2459,686,1,100,75497,21500,,9717,9717,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1435,°×¹â£¨²»¿É´©£©,2391,70,1,1,18,11875,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1436,°×¹â£¨²»¿É´©£©,2391,70,1,1,18,11875,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
1437,Ä§ÉñÖ®ºÐ,1916,339,1,100,13949,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1438,¹ØÓð,2896,718,0,100,835532,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1439,ÕÅ·É,2897,721,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1440,ÂÀ²¼,2898,720,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1441,¹ØÓð,2896,718,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1442,ÕÅ·É,2897,721,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1443,ÂÀ²¼,2898,720,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1444,¹ØÓð,2896,718,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1445,ÕÅ·É,2897,721,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1446,ÂÀ²¼,2898,720,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1447,¹ØÓð,2896,718,0,100,696277,21500,,8098,8098,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1448,ÕÅ·É,2897,721,0,100,696277,21500,,8098,8098,5715,5429,5790,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1449,ÂÀ²¼,2898,720,0,100,696277,21500,,8098,8098,5715,5429,5790,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
1450,Òþ²Ø±¦Ïä,722,339,1,100,11624,21500,,5399,5399,4763,4524,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1451,¶þ²ã´«ËÍ,2459,686,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1452,·ÖÉí¡¤¹ØÓð,2447,718,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1453,·ÖÉí¡¤ÕÅ·É,2450,721,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1454,·ÖÉí¡¤ÂÀ²¼,2449,720,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1455,·ÖÉí¡¤¹ØÓð,2447,718,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1456,·ÖÉí¡¤ÕÅ·É,2450,721,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1457,·ÖÉí¡¤ÂÀ²¼,2449,720,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1458,·ÖÉí¡¤¹ØÓð,2447,718,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1459,·ÖÉí¡¤ÕÅ·É,2450,721,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1460,·ÖÉí¡¤ÂÀ²¼,2449,720,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1461,·ÖÉí¡¤¹ØÓð,2447,718,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
1462,·ÖÉí¡¤ÕÅ·É,2450,721,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
